prefix,max_len,min_len,usage,comment,tags,translated_comment
115,3,3,Public Service Number for German administration,,"goverment,internal",
1160,6,6,Harmonised European Services of Social Value,,"goverment,internal",
1161,6,6,Harmonised European Services of Social Value,,"goverment,internal",
137,10,10,Mass-traffic services,,internal,
15020,11,11,Mobile services (M2M only),Interactive digital media GmbH,"mobile,internal",interactive digital media gmbh
15050,11,11,Mobile services,NAKA AG,mobile,naka ag
15080,11,11,Mobile services,Easy World Call GmbH,mobile,easy world call gmbh
1511,11,11,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
1512,11,11,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
1514,11,11,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
1515,11,11,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
1516,11,11,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
1517,11,11,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
1520,11,11,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
1521,11,11,Mobile services,Vodafone GmbH / MVNO Lycamobile Germany,mobile,vodafone gmbh / mvno lycamobile germany
1522,11,11,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
1523,11,11,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
1525,11,11,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
1526,11,11,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
1529,11,11,Mobile services,Vodafone GmbH / MVNO Truphone GmbH,mobile,vodafone gmbh / mvno truphone gmbh
15555,11,11,Mobile services,Tismi BV,mobile,tismi bv
15630,11,11,Mobile services,multiConnect GmbH,mobile,multiconnect gmbh
15678,11,11,Mobile services,Argon Networks UG,mobile,argon networks ug
1570,11,11,Mobile services,E-Plus Mobilfunk GmbH / MVNO,mobile,e-plus mobilfunk gmbh / mvno
1573,11,11,Mobile services,E-Plus Mobilfunk GmbH,mobile,e-plus mobilfunk gmbh
1575,11,11,Mobile services,E-Plus Mobilfunk GmbH,mobile,e-plus mobilfunk gmbh
1577,11,11,Mobile services,E-Plus Mobilfunk GmbH,mobile,e-plus mobilfunk gmbh
1578,11,11,Mobile services,E-Plus Mobilfunk GmbH,mobile,e-plus mobilfunk gmbh
1579,11,11,Mobile services,E-Plus Mobilfunk GmbH / MVNO Sipgate Wireless GmbH,mobile,e-plus mobilfunk gmbh / mvno sipgate wireless gmbh
15888,11,11,Mobile services,TelcoVillage GmbH,mobile,telcovillage gmbh
1590,11,11,Mobile services,Telefónica Germany GmbH & Co. OHG,mobile,telefónica germany gmbh & co. ohg
160,11,10,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
162,10,10,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
163,10,10,Mobile services,E-Plus Mobilfunk GmbH,mobile,e-plus mobilfunk gmbh
164,13,4,Mobile paging services,e*Message Wireless Information Services Deutschland GmbH,"mobile,internal",e*message wireless information services deutschland gmbh
168,14,4,Mobile paging services,e*Message Wireless Information Services Deutschland GmbH,"mobile,internal",e*message wireless information services deutschland gmbh
169,14,4,Mobile paging services,e*Message Wireless Information Services Deutschland GmbH,"mobile,internal",e*message wireless information services deutschland gmbh
170,10,10,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
171,10,10,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
172,10,10,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
173,10,10,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
174,10,10,Mobile services,Vodafone GmbH,mobile,vodafone gmbh
175,10,10,Mobile services,Telekom Deutschland GmbH,mobile,telekom deutschland gmbh
176,11,11,Mobile services,Telefónica Germany GmbH & Co. OHG,mobile,telefónica germany gmbh & co. ohg
177,10,10,Mobile services,E-Plus Mobilfunk GmbH,mobile,e-plus mobilfunk gmbh
178,10,10,Mobile services,E-Plus Mobilfunk GmbH,mobile,e-plus mobilfunk gmbh
179,10,10,Mobile services,Telefónica Germany GmbH & Co. OHG,mobile,telefónica germany gmbh & co. ohg
180,10,8,Medium rate service,,internal,
181,14,8,International Virtual Private Networks (IVPN),,internal,
182,11,11,Virtual private networks,,internal,
183,11,11,Virtual private networks,,internal,
184,11,11,Virtual private networks,,internal,
185,11,11,Virtual private networks,,internal,
186,11,11,Virtual private networks,,internal,
187,11,11,Virtual private networks,,internal,
188,11,11,Virtual private networks,,internal,
189,11,11,Virtual private networks,,internal,
191,6,4,Online services,,"internal,mobile",
192,6,4,Online services,,"internal,mobile",
193,6,4,Online services,,"internal,mobile",
194,6,6,Online services,,"internal,mobile",
1986,7,7,Routing number for 115 public service number for German administration,,"goverment,internal",
1987,7,7,Routing numbers for 1160 and 1161 numbers,,"goverment,internal",
